Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,Attrition
56,Female,Sales,Manager,3,Single,8322,2,23,No,No
46,Male,Sales,Manager,3,Single,5476,1,39,No,No
32,Male,Research & Development,Manager,3,Married,4488,1,39,No,No
25,Female,Sales,Laboratory Technician,4,Married,4366,4,22,No,No
38,Male,Research & Development,Laboratory Technician,4,Married,5419,1,32,No,No
56,Male,Research & Development,Research Scientist,4,Married,5003,1,28,No,No
36,Male,Research & Development,Laboratory Technician,2,Married,6153,4,9,No,No
40,Male,Research & Development,Manager,1,Married,10020,2,14,No,No
28,Male,Sales,Sales Executive,5,Married,11695,3,9,No,No
28,Male,Research & Development,Manager,5,Single,2993,1,25,Yes,No
41,Male,Research & Development,Sales Executive,1,Married,7148,3,39,Yes,No
53,Male,Research & Development,Research Scientist,5,Married,6524,1,28,No,No
57,Female,Human Resources,Human Resources,3,Married,7326,3,33,Yes,No
41,Male,Research & Development,Laboratory Technician,2,Single,4874,4,17,Yes,No
20,Female,Research & Development,Laboratory Technician,5,Single,7360,1,1,No,No
39,Female,Sales,Manager,2,Married,2550,1,24,Yes,No
19,Male,Research & Development,Manager,1,Single,14455,2,20,Yes,No
41,Female,Research & Development,Sales Executive,5,Single,6726,2,30,No,No
47,Female,Sales,Laboratory Technician,2,Single,7825,1,21,No,No
55,Female,Research & Development,Research Scientist,3,Married,3204,4,8,No,No
19,Female,Sales,Manager,3,Married,4262,3,26,No,No
38,Male,Research & Development,Laboratory Technician,1,Married,2328,2,24,No,No
50,Female,Research & Development,Human Resources,4,Single,9640,2,24,Yes,No
29,Female,Research & Development,Sales Executive,5,Married,3225,2,26,Yes,No
39,Female,Human Resources,Manager,3,Married,5527,2,9,No,No
42,Male,Sales,Manager,3,Single,5638,4,29,No,No
44,Female,Sales,Research Scientist,1,Single,7183,1,3,Yes,No
59,Female,Sales,Manager,3,Married,2768,3,20,No,No
45,Male,Research & Development,Laboratory Technician,5,Married,8149,2,29,Yes,No
33,Male,Research & Development,Laboratory Technician,1,Married,9112,4,32,Yes,No
32,Male,Research & Development,Laboratory Technician,2,Single,4349,4,25,No,No
20,Female,Sales,Human Resources,1,Married,5908,2,1,No,Yes
54,Female,Research & Development,Human Resources,5,Married,7566,3,22,No,No
24,Female,Sales,Manager,5,Married,6638,2,30,Yes,No
38,Male,Research & Development,Human Resources,2,Divorced,3500,4,3,Yes,No
26,Female,Research & Development,Human Resources,1,Divorced,7753,3,19,No,No
56,Male,Research & Development,Research Scientist,5,Married,9781,4,24,No,No
35,Male,Research & Development,Human Resources,5,Single,9773,1,0,No,No
21,Female,Research & Development,Sales Executive,2,Married,7438,4,1,No,No
42,Female,Research & Development,Sales Executive,4,Single,7914,2,5,No,Yes
31,Female,Research & Development,Sales Executive,1,Married,5027,3,6,No,No
26,Female,Research & Development,Manager,5,Single,3706,2,3,No,No
43,Male,Sales,Laboratory Technician,3,Married,5828,1,17,Yes,No
19,Male,Sales,Research Scientist,2,Single,11661,3,4,No,No
37,Female,Research & Development,Manager,4,Married,4672,3,24,No,No
45,Female,Research & Development,Laboratory Technician,4,Single,7086,3,0,No,No
24,Male,Sales,Research Scientist,2,Married,6944,4,33,Yes,No
25,Male,Research & Development,Research Scientist,4,Married,5064,2,2,No,No
52,Male,Sales,Research Scientist,5,Married,9709,3,16,No,No
31,Female,Sales,Sales Executive,4,Single,9972,3,31,No,No
34,Male,Research & Development,Sales Executive,1,Married,12667,3,23,Yes,No
53,Male,Research & Development,Sales Executive,3,Single,4003,1,1,No,Yes
57,Male,Research & Development,Research Scientist,5,Married,7017,3,0,No,No
21,Male,Research & Development,Research Scientist,2,Divorced,6221,4,33,No,No
19,Female,Human Resources,Sales Executive,3,Married,4283,4,7,No,No
23,Male,Research & Development,Research Scientist,5,Single,4334,3,8,No,Yes
59,Female,Sales,Sales Executive,3,Single,6417,4,27,No,No
21,Female,Sales,Sales Executive,4,Divorced,4832,4,18,No,Yes
46,Female,Sales,Sales Executive,2,Single,3550,3,19,No,No
35,Male,Human Resources,Laboratory Technician,2,Married,6308,4,6,Yes,No
43,Female,Sales,Research Scientist,1,Married,3234,1,34,No,No
51,Female,Sales,Manager,4,Married,4834,3,18,No,No
27,Female,Sales,Sales Executive,1,Married,6904,2,16,Yes,No
53,Female,Research & Development,Manager,1,Single,5662,4,39,No,No
31,Male,Sales,Laboratory Technician,4,Married,5356,3,17,No,No
48,Male,Human Resources,Research Scientist,5,Married,10522,2,6,Yes,Yes
32,Male,Sales,Sales Executive,1,Single,9506,1,26,No,No
25,Male,Sales,Sales Executive,3,Single,6206,1,38,No,No
31,Male,Sales,Sales Executive,5,Married,3464,3,29,No,No
40,Male,Research & Development,Manager,4,Single,8026,3,22,No,No
57,Male,Research & Development,Laboratory Technician,2,Married,12315,1,19,No,No
38,Male,Sales,Research Scientist,5,Single,9412,1,22,Yes,No
33,Male,Sales,Laboratory Technician,1,Single,2749,1,25,Yes,No
35,Male,Research & Development,Sales Executive,3,Single,5505,2,13,No,No
41,Male,Sales,Laboratory Technician,4,Single,4167,2,30,No,No
43,Male,Sales,Manager,2,Married,3684,3,26,No,No
42,Male,Sales,Human Resources,3,Single,8837,2,8,Yes,No
58,Male,Sales,Human Resources,2,Married,8784,4,22,No,No
46,Female,Sales,Research Scientist,4,Divorced,10438,1,9,No,No
32,Male,Sales,Research Scientist,5,Married,7695,3,22,No,No
18,Male,Sales,Laboratory Technician,1,Single,5888,2,9,No,No
42,Male,Research & Development,Research Scientist,4,Divorced,6469,3,1,Yes,No
24,Female,Sales,Manager,3,Single,3736,2,36,Yes,No
26,Female,Research & Development,Sales Executive,5,Married,9425,3,39,No,No
41,Female,Sales,Sales Executive,2,Married,4146,1,37,Yes,No
18,Female,Research & Development,Laboratory Technician,5,Single,4978,1,37,Yes,No
25,Male,Sales,Sales Executive,5,Married,5240,1,0,No,No
41,Male,Research & Development,Laboratory Technician,3,Single,-1677,2,17,No,No
28,Male,Sales,Research Scientist,1,Married,8168,3,34,Yes,No
34,Female,Research & Development,Research Scientist,5,Single,3630,3,6,Yes,No
25,Female,Sales,Manager,5,Married,7723,3,21,No,No
52,Female,Sales,Sales Executive,1,Married,4878,4,24,Yes,No
52,Male,Human Resources,Manager,1,Single,4856,2,22,No,No
50,Female,Research & Development,Human Resources,2,Married,3223,1,8,No,No
22,Male,Sales,Manager,2,Married,9471,1,26,No,No
59,Male,Human Resources,Laboratory Technician,1,Married,10028,3,10,Yes,No
56,Male,Sales,Laboratory Technician,4,Married,8499,3,26,No,No
58,Female,Sales,Manager,1,Married,6662,4,39,No,No
45,Male,Human Resources,Research Scientist,2,Single,6339,2,27,Yes,No
24,Female,Sales,Human Resources,3,Married,8716,3,17,Yes,No
26,Male,Research & Development,Manager,3,Married,5685,3,35,No,No
25,Female,Sales,Research Scientist,5,Married,9294,2,33,No,No
29,Male,Research & Development,Manager,3,Married,3593,3,12,No,No
51,Male,Research & Development,Sales Executive,2,Single,8453,1,29,Yes,No
50,Female,Human Resources,Laboratory Technician,3,Single,9212,2,27,No,No
40,Female,Research & Development,Sales Executive,4,Single,3254,1,21,No,No
41,Female,Sales,Sales Executive,1,Single,3902,4,23,No,No
54,Female,Research & Development,Human Resources,1,Single,5888,3,29,No,No
52,Female,Sales,Research Scientist,2,Divorced,7057,3,37,No,No
57,Male,Research & Development,Laboratory Technician,5,Single,4456,2,19,No,No
39,Female,Research & Development,Sales Executive,1,Married,6230,4,5,No,No
44,Male,Research & Development,Laboratory Technician,3,Single,834,2,32,Yes,Yes
52,Male,Research & Development,Research Scientist,4,Married,7912,4,37,Yes,No
18,Male,Sales,Manager,5,Divorced,8030,2,14,No,No
52,Female,Research & Development,Sales Executive,5,Single,9802,2,14,No,Yes
54,Female,Sales,Research Scientist,5,Married,7434,3,31,No,No
31,Male,Research & Development,Laboratory Technician,1,Divorced,5074,3,13,No,Yes
20,Female,Sales,Research Scientist,5,Married,3464,4,7,No,No
18,Female,Research & Development,Manager,2,Single,3967,1,35,No,No
22,Male,Sales,Research Scientist,3,Married,5777,1,21,No,No
43,Male,Research & Development,Laboratory Technician,4,Married,3882,2,37,Yes,No
